# NodeID	Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	_id	OutDeg	Pagerank
u_fsbBxTUb8zTlyk	2355446	16	0	30.224434	-92.019059				oT1SNLdTVrkvyUhg	2434560	Lafayette	sfxLu9BQUL8mSVy9qQ	12588624	Lafayette Parish	Kw3UkutTUb4f3eZc	2347577	Louisiana	nz.gsghTUb4c2WAecA	23424977	United States	664	1	0.000002
zzlU15NWVLLwm9A	768463	14	0	42.188115	-6.132731				zzlU15NWVLLwm9A	768463	Nogarejas	QdxU2pJQULwJumdakA	12602117	Leon	OTZEH69QUL.4uFJGYQ	12578033	Castille and Leon	oVKj1ohTUb5V1poSBg	23424950	Spain	665	1	0.000003
7yGoEcVWU7nosLE	713571	16	0	37.502262	15.08226				7yGoEcVWU7nosLE	713571	Catania	Du9JyIRQUL.66LdHDg	12591830	Catania	e_a_hC9WU78dOVeI	7153344	Sicily	5QqgvRVTUb7tSzaDpQ	23424853	Italy	666	2	0.000004
usUiSARTVLmKlDWH5w	26342866	16	0	37.737861	-119.602376				usUiSARTVLmKlDWH5w	26342866	Tuolumne Meadows	Cs.6uy5QUL9jB9q6sg	12587691	Mariposa	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	667	1	0.000002
Gl.52gNTUrq4_NWAvw	20094197	15	0	50.8281	-0.140247				cv1TwRlQUbMd6A	13911	Brighton	qbfsF01QULxFz.fQPQ	12602167	East Sussex	2eIY2QFTVr_DwWZNLg	24554868	England	cnffEpdTUb5v258BBA	23424975	United Kingdom	668	1	0.000003
YIcvpsNWUbvQJDc	731349	13	0	52.270205	4.541645				YIcvpsNWUbvQJDc	731349	Lisse	atKKz7RQUL.jmwSctg	12592262	Lisse	jv28O8hTUb4BVhxu	2346383	South Holland	Exbw8apTUb6236fOVA	23424909	Netherlands	669	1	0.000003
hBQ_UchUV7IO8gybsA	55806580	15	0	42.935485	-78.875205				b8kmMORTUb27_cNc	2371464	Buffalo	iEAaf_1QUL8CEkcvIg	12589326	Erie	ODHTuIhTUb75gdBu	2347591	New York	nz.gsghTUb4c2WAecA	23424977	United States	670	1	0.000002
oIGe_OpVUL9r0i4	425853	16	0	-22.957588	-43.175974				mAqmHW5VV78OT5o	455825	Rio de Janeiro	APx4hEpQUL_XWgPC6A	12581062	Rio de Janeiro	fCgNtJ9TUb7DgEOD	2344862	Rio de Janeiro	xQfoS31TUb6eduaTWQ	23424768	Brazil	671	2	0.000004
drN1SbBTUrsvdwZ2VA	20150265	16	0	43.772833	11.255503				ZPDshblWU7_DgSs	715496	Florence	C6o8Ss1QUL9Xt91OmQ	12591818	Florence	yU7tk6NWU795lMYh	7153345	Tuscany	5QqgvRVTUb7tSzaDpQ	23424853	Italy	672	1	0.000003
0zUryxpTV7vwINug	2510436	15	0	40.096375	-88.218433				0zUryxpTV7vwINug	2510436	Urbana	S62jp1tQUL8ylDqleg	12588087	Champaign	BQEHmddTUb5GBtTz	2347572	Illinois	nz.gsghTUb4c2WAecA	23424977	United States	673	1	0.000002
G9IEryFTVrytQKYG	2464118	15	0	33.192928	-117.37868				G9IEryFTVrytQKYG	2464118	Oceanside	jomuPC9QUL_Ei9HSMA	12587706	San Diego	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	674	1	0.000003
8dSuUQJTUrvgSXONtA	20142415	15	0	44.460495	8.938493				8dSuUQJTUrvgSXONtA	20142415	Sant'Olcese	53mF_ndQUL8j4YbpRg	12591832	Genoa	DrX_vb9WU7.Thkk8	7153337	Liguria	5QqgvRVTUb7tSzaDpQ	23424853	Italy	675	1	0.000003
24Sf_tRUV7LB1Fa7vg	55864605	16	0	39.281907	-76.607955				4SFEDvdTUb8EVcKC	2358820	Baltimore	5dfQJtBQUL._Y0UdfQ	12588679	Baltimore City	hcB5icNTUb4v8pAc	2347579	Maryland	nz.gsghTUb4c2WAecA	23424977	United States	676	1	0.000002
RQdCnUxQUL9.zjKKvg	12587587	14	0	33.461073	-111.944825							RQdCnUxQUL9.zjKKvg	12587587	Maricopa	F1ZWoDVTUb4_LxuL	2347561	Arizona	nz.gsghTUb4c2WAecA	23424977	United States	677	1	0.000003
t5gfyhRTUb8TQdaF	2357536	10	0	30.271817	-97.751541				t5gfyhRTUb8TQdaF	2357536	Austin	TUkRI9xQUL.OvkM5gQ	12590233	Travis	EMo2gYtTUb7oiO66	2347602	Texas	nz.gsghTUb4c2WAecA	23424977	United States	678	1	0.000003
m8vOjvBTUb9fXJt9Ng	23512041	15	0	37.791332	-122.392524				7.MJR8tTVrIO1EgB	2487956	San Francisco	.7sOmlRQUL9nK.kMzA	12587707	San Francisco	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	679	2	0.000004
6h.1AU1TUb9iBvri4A	23511948	13	0	41.963383	-87.644934				prbd60NTUb2haaDH	2379574	Chicago	O2QpKXJQUL_LHzYxYQ	12588093	Cook	BQEHmddTUb5GBtTz	2347572	Illinois	nz.gsghTUb4c2WAecA	23424977	United States	680	1	0.000002
uhjzNn5TUrt6LuZ5Qw	20141888	12	0	44.332321	9.169464				uhjzNn5TUrt6LuZ5Qw	20141888	San Rocco	53mF_ndQUL8j4YbpRg	12591832	Genoa	DrX_vb9WU7.Thkk8	7153337	Liguria	5QqgvRVTUb7tSzaDpQ	23424853	Italy	681	1	0.000002
p4s7bqRTUL8j9_kI	2255202	12	0	29.622937	52.502288				p4s7bqRTUL8j9_kI	2255202	Shiraz				dDaTYfNTUb6eKUGK	2345772	Fars	.aJWOSlTUb6stinYXA	23424851	Iran	682	1	0.000003
s.5dwfNVU7gK	4126	9	0	43.251204	-79.28627				s.5dwfNVU7gK	4126	St. Catharines	rrBYlUhTW7ladGMhZg	29375033	Niagara	KAOZv3VTUb6vc1Fc	2344922	Ontario	b9iFoOpTUb6KZ3MPGQ	23424775	Canada	683	1	0.000002
ESc4cn5TUbKY9IMB	2381475	16	0	41.559828	-81.515014				ESc4cn5TUbKY9IMB	2381475	Cleveland	Vc3J1SJQUL_DjNXzYw	12589544	Cuyahoga	UUU.pnpTUb7KHEfH	2347594	Ohio	nz.gsghTUb4c2WAecA	23424977	United States	684	1	0.000003
1DA9abpQULoU_A	12013	14	0	53.477141	-2.368283				Dqd8n29TWrgqng	28218	Manchester	CEt642NQULz2nl7WPA	12602158	Greater Manchester	2eIY2QFTVr_DwWZNLg	24554868	England	cnffEpdTUb5v258BBA	23424975	United Kingdom	685	1	0.000002
Jx8y4RVUWr.Zhw	58507	12	0	9.859613	-85.396556				Jx8y4RVUWr.Zhw	58507	Islita	fb0qecNTVLIXL_MRWg	26808828	Nandayure	mEwHy2dTUb7_C6jZ	2345084	Guanacaste	Z_eTmVZTUb7e7A086Q	23424791	Costa Rica	686	1	0.000002
mmbxC_tQUb.Zkg	13583	14	0	51.772221	-1.662733				mmbxC_tQUb.Zkg	13583	Bradwell Grove	6FvYv7NQULyvqR7P_g	12602175	Oxfordshire	2eIY2QFTVr_DwWZNLg	24554868	England	cnffEpdTUb5v258BBA	23424975	United Kingdom	687	1	0.000003
yAVyPp5TVrLZtAjq	2488142	16	0	37.54678	-122.301575				yAVyPp5TVrLZtAjq	2488142	San Mateo	nJQqFhtQUL9qTY2Saw	12587710	San Mateo	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	688	2	0.000004
deH6iSpSW79eTAQ	395269	16	0	10.480548	-66.880205				deH6iSpSW79eTAQ	395269	Caracas	r6bKGs5TVLLY2ug5Dw	26804635	Libertador	0x.fGqFTUb5ue1Xa	2347686	Distrito Federal	eQgUardTUb4WP5XdBw	23424982	Venezuela	689	1	0.000003
NOThHDVZULloAXM	823062	16	0	48.145794	17.101094				uEtHem1ZU7KDSJs	818717	Bratislava	gVWi0BRTW7mzXYwLkg	29399347	Bratislava	q5zbORZTUrrYrTSDOw	20070505	Bratislavsky	aR4i47JTUb453qD0Tw	23424877	Slovakia	690	1	0.000002
7VBR7jBWWri1ISc	782350	12	0	46.754446	6.599435				7VBR7jBWWri1ISc	782350	Ependes	GgrJd7VQUL.B_3l3Gg	12593235	Yverdon	NPVk79tTUb4aj.cX	2347105	Canton of Vaud	HfSZnNxTUb7.Mo5Vpg	23424957	Switzerland	691	1	0.000003
aZ3y.SNTVL0N1lUpuQ	26793994	12	0	-22.248031	-68.320026							aZ3y.SNTVL0N1lUpuQ	26793994	El Loa Province	tQJzf8FTUb5HyIx5	2345020	Antofagasta Region	FvjOFOJTUb63qNmf5g	23424782	Chile	692	2	0.000004
sp8eftVTUbxk9JrD	2362268	16	0	37.527579	-122.262704				sp8eftVTUbxk9JrD	2362268	Belmont	nJQqFhtQUL9qTY2Saw	12587710	San Mateo	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	693	1	0.000002
